URL,Size,Outgoing Links,Content Type
https://www.wsj.com/,5053960,441,text/html
https://www.wsj.com/news/style-entertainment/fashion?mod=nav_top_subsection,1013063,314,text/html
https://www.wsj.com/news/business/transportation?mod=nav_top_subsection,1319705,355,text/html
https://www.wsj.com/news/author/jason-zweig?mod=nav_top_subsection,853541,325,text/html
https://www.wsj.com/video/browse/opinion?mod=nav_top_subsection,124023,105,text/html
https://www.wsj.com/articles/biden-administration-alzheimers-treatments-aduhelm-centers-for-medicare-and-medicaid-services-33b6a833?mod=hp_trending_now_opn_pos3,555727,349,text/html
https://www.wsj.com/news/science?mod=nav_top_subsection,1997708,350,text/html
https://www.wsj.com/video/watch-alex-murdaugh-found-guilty-in-murders-of-his-wife-and-son/2d537960-503b-40ad-9167-3b8400597d2e.html?mod=hp_trending_now_video_pos2,314243,111,text/html
https://www.wsj.com/news/business/hotels-casinos?mod=nav_top_subsection,1345283,355,text/html
https://www.wsj.com/articles/president-biden-veto-esg-labor-department-rule-84e59966?mod=hp_trending_now_opn_pos1,545195,349,text/html
https://www.wsj.com/news/types/cross-country?mod=nav_top_subsection,1223963,355,text/html
https://www.wsj.com/news/types/the-saturday-interview?mod=nav_top_subsection,1236036,355,text/html
https://www.wsj.com/video/browse/news/world-news?mod=nav_top_subsection,127247,105,text/html
https://www.wsj.com/market-data/quotes/futures/gc00?mod=hp_mds,480817,307,text/html
https://www.wsj.com/news/author/daniel-henninger?mod=nav_top_subsection,719881,305,text/html
https://www.wsj.com/buyside/personal-finance/what-is-an-etf-bcec3640?mod=wsj_hp_buyside_pos1,624787,104,text/html
https://www.wsj.com/news/realestate?mod=nav_top_section,1419083,356,text/html
https://www.wsj.com/articles/capital-gains-dividend-tax-rates-2022-2023-da562ba6?mod=hp_theme_tax-ribbon,553951,343,text/html
https://www.wsj.com/coupons,319056,169,text/html
https://www.wsj.com/buyside,688862,97,text/html
https://www.wsj.com/market-data/quotes/index/us/djia?mod=hp_mds,512358,387,text/html
https://www.wsj.com/video/browse/business?mod=nav_top_subsection,127502,105,text/html
https://www.wsj.com/questions/money?mod=nav_top_subsection,83187,181,text/html
https://www.wsj.com/market-data/mutualfunds-etfs?mod=nav_top_subsection,892032,311,text/html
https://www.wsj.com/news/markets/stocks?mod=nav_top_subsection,1404736,355,text/html
https://www.wsj.com/news/types/china-news?mod=nav_top_subsection,1240871,355,text/html
https://www.wsj.com/market-data/quotes/company-list/?mod=nav_top_subsection,450236,419,text/html
https://www.wsj.com/news/opinion?mod=nav_top_section,1780964,382,text/html
https://www.wsj.com/news/types/cultural-commentary?mod=nav_top_subsection,970694,314,text/html
https://www.wsj.com/news/types/canada-news?mod=nav_top_subsection,1225962,355,text/html
https://www.wsj.com/news/logistics-report?mod=hp_minor_strap_5,1408412,356,text/html
https://www.wsj.com/news/types/obituaries?mod=nav_top_subsection,1217472,355,text/html
https://www.wsj.com/news/business/management?mod=nav_top_subsection,1939436,355,text/html
https://www.wsj.com/buyside/electronics/best-streaming-devices-d8674b69?mod=wsj_hp_buyside_pos2,777669,148,text/html
https://www.wsj.com/news/types/review-outlook-u-s?mod=nav_top_subsection,1326229,355,text/html
https://www.wsj.com/articles/aspen-townhouse-sells-for-more-than-double-its-last-sale-price-ad171502?mod=hp_listc_pos1,396339,126,text/html
https://www.wsj.com/news/business/law-legal?mod=nav_top_subsection,1487309,354,text/html
https://www.wsj.com/articles/investment-financial-advice-study-11675370098?mod=hp_jr_pos3,569629,368,text/html
https://www.wsj.com/news/author/elizabeth-anne-bernstein?mod=nav_top_subsection,716623,305,text/html
https://www.wsj.com/news/markets/oil-gold-commodities-futures?mod=nav_top_subsection,1402355,355,text/html
https://www.wsj.com/news/books-arts/what-to-watch?mod=nav_top_subsection,1259882,316,text/html
https://www.wsj.com/news/style-entertainment?mod=nav_top_section,1741089,366,text/html
https://www.wsj.com/news/business/industrial-services?mod=nav_top_subsection,1325350,355,text/html
https://www.wsj.com/news/types/masterpiece?mod=nav_top_subsection,1219120,354,text/html
https://www.wsj.com/news/collection/investing-monthly-report-f534498e?mod=hp_jr_strap,1092921,66,text/html
https://www.wsj.com/news/author/rory-satran?mod=nav_top_subsection,719352,304,text/html
https://www.wsj.com/news/author/jason-l-riley?mod=nav_top_subsection,872726,325,text/html
https://www.wsj.com/articles/whitney-houston-biopic-naomi-ackie-11671665061,548273,343,text/html
https://www.wsj.com/news/world?mod=breadcrumb,1556876,368,text/html
https://www.wsj.com/news/author/joseph-pisani,717223,303,text/html
https://www.wsj.com/articles/lost-at-sea-for-24-days-this-man-survived-on-ketchup-seasoning-and-dirty-water-ac2ef753,541196,342,text/html
https://www.wsj.com/video/series/journal-editorial-report/wsj-opinion-the-republican-presidential-field-is-shaping-up/15aeaa92-c504-4c75-93ce-6883712bd491,1385065,42,text/html
https://www.wsj.com/video/series/journal-editorial-report/wsj-opinion-north-carolina-creates-a-college-for-free-inquiry/f50033fb-3a42-4b40-a446-e193bca499e3,1389540,43,text/html
https://www.wsj.com/video/series/wonder-land-henninger/wsj-opinion-the-known-unknowns-of-joe-bidens-ufo-silence/e361545b-04f8-48af-9150-37e1dcc3b30a,1482771,43,text/html
https://www.wsj.com/video/series/journal-editorial-report/wsj-opinion-hunter-biden-goes-on-offense/5b00a3fe-1973-403a-bc56-1b6d858c4d0a,1388898,43,text/html
https://www.wsj.com/video/series/journal-editorial-report/wsj-opinion-the-movement-to-close-down-school-honors-programs/14ab2600-fd17-413f-9407-44d77123cf80,1389135,43,text/html
https://www.wsj.com/video/series/journal-editorial-report/wsj-opinion-marijuana-legalization-isnt-going-as-planned/fe526e6d-9fc5-4194-8ead-dae67cda6e62,1389045,43,text/html
https://www.wsj.com/video/series/wonder-land-henninger/wsj-opinion-joe-biden-has-become-bernie-sanders/03d36dd6-a068-4db6-863f-4e88d684dc14,1482635,43,text/html
https://www.wsj.com/video/series/wonder-land-henninger/wsj-opinion-ukraine-fatigue-is-not-an-option/5897fa33-5067-4beb-912d-db54b0e7f255,1479162,43,text/html
https://www.wsj.com/video/series/journal-editorial-report/wsj-opinion-should-google-and-twitter-be-liable-for-terrorist-websites/07a347e8-1a89-4904-9d1a-b2cb552034a4,1389576,43,text/html
https://www.wsj.com/video/wsj-opinion-oscars-2023-10-best-picture-reviews-in-10-minutes/3d755d1d-21a3-4fef-964b-574071b480e6.html,316433,110,text/html
https://www.wsj.com/video/series/journal-editorial-report/wsj-opinion-ron-desantis-wants-to-protect-teachers-rights/7d640e7a-b7c3-47ff-809b-ecba6221c1cf,1389309,43,text/html
https://www.wsj.com/video/series/opinion-review-and-outlook/wsj-opinion-biden-and-the-chinese-spy-balloon/6d60346d-9c53-4a67-8b19-812e2084250b,1439311,43,text/html
