URL,Status
https://www.wsj.com/,200
https://www.wsj.com/news/style-entertainment/fashion?mod=nav_top_subsection,200
https://www.wsj.com/news/business/transportation?mod=nav_top_subsection,200
https://www.wsj.com/watchlist/news?mod=wsjfooter,302
https://www.wsj.com/news/author/jason-zweig?mod=nav_top_subsection,200
https://www.wsj.com/video/browse/opinion?mod=nav_top_subsection,200
https://www.wsj.com/articles/biden-administration-alzheimers-treatments-aduhelm-centers-for-medicare-and-medicaid-services-33b6a833?mod=hp_trending_now_opn_pos3,200
https://www.wsj.com/news/science?mod=nav_top_subsection,200
https://www.wsj.com/video/watch-alex-murdaugh-found-guilty-in-murders-of-his-wife-and-son/2d537960-503b-40ad-9167-3b8400597d2e.html?mod=hp_trending_now_video_pos2,200
https://www.wsj.com/fonts/woffs/escrow/escrow+display+condensed+roman.woff2,200
https://www.wsj.com/news/business/hotels-casinos?mod=nav_top_subsection,200
https://www.wsj.com/articles/president-biden-veto-esg-labor-department-rule-84e59966?mod=hp_trending_now_opn_pos1,200
https://www.wsj.com/news/types/cross-country?mod=nav_top_subsection,200
https://www.wsj.com/news/types/the-saturday-interview?mod=nav_top_subsection,200
https://www.wsj.com/video/browse/news/world-news?mod=nav_top_subsection,200
https://www.wsj.com/market-data/quotes/futures/gc00?mod=hp_mds,200
https://www.wsj.com/news/author/daniel-henninger?mod=nav_top_subsection,200
https://www.wsj.com/buyside/personal-finance/what-is-an-etf-bcec3640?mod=wsj_hp_buyside_pos1,200
https://www.wsj.com/news/realestate?mod=nav_top_section,200
https://www.wsj.com/articles/capital-gains-dividend-tax-rates-2022-2023-da562ba6?mod=hp_theme_tax-ribbon,200
https://www.wsj.com/coupons,200
https://www.wsj.com/buyside,200
https://www.wsj.com/market-data/quotes/index/us/djia?mod=hp_mds,200
https://www.wsj.com/video/browse/business?mod=nav_top_subsection,200
https://www.wsj.com/questions/money?mod=nav_top_subsection,200
https://www.wsj.com/market-data/mutualfunds-etfs?mod=nav_top_subsection,200
https://www.wsj.com/news/markets/stocks?mod=nav_top_subsection,200
https://www.wsj.com/news/types/china-news?mod=nav_top_subsection,200
https://www.wsj.com/market-data/quotes/company-list/?mod=nav_top_subsection,200
https://www.wsj.com/puzzles?mod=nav_top_subsection,301
https://www.wsj.com/pro/centralbanking,301
https://www.wsj.com/news/opinion?mod=nav_top_section,200
https://www.wsj.com/news/types/cultural-commentary?mod=nav_top_subsection,200
https://www.wsj.com/news/types/canada-news?mod=nav_top_subsection,200
https://www.wsj.com/news/logistics-report?mod=hp_minor_strap_5,200
https://www.wsj.com/news/types/obituaries?mod=nav_top_subsection,200
